Acc	Results	Terms	ReleaseDate	Taxa	Platforms	AllPlatformsInGemma	Affy	NumSamples	Type	SuperSeries	SubSeriesOf	PubMed	Title	Summary	MeSH	SampleTerms
GSE180841	True	[['astrocyt', 'astrocyt', 'astrocyt', 'astrocyt', 'astrocyt'], ['olfactory', 'olfactory', 'olfactory', 'olfactory'], ['astrocyt', 'astrocyt', 'astrocyt', 'astrocyt', 'astrocyt'], ['astrocyt', 'astrocyt', 'astrocyt', 'astrocyt', 'astrocyt']]	2021.07.28	Mus musculus	GPL19057	True	False	6	Expression profiling by high throughput sequencing	False			Olfactory bulb gene expression profiling upon loss of Sox9 in adult astrocytes	The goal of this study is to determine how the loss of the transcription factor Sox9 affects the molecular profiles of adult astrocytes from the olfactory. We performed RNA-sequencing on wildtype and Sox9 knockout (KO) astrocytes from the olfactory bulb and analyzed the molecular signatures of Sox9 KO astrocytes compared to the wildtype control.		olfactory bulb astrocytes;Sox9 KO;AAV-GFAP-iCre-P2a-TurboRFP;WT;C57BL/6
GSE180828	True	[['glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia'], ['microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia'], ['microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia']]	2021.07.28	Mus musculus	GPL19057	True	False	3	Expression profiling by high throughput sequencing	False			Exploring a novel target of levetiracetam to suppress microglial inflammatory reaction	Microglia are macrophages-like cells in the central nervous system (CNS) harboring important roles such as synaptic organization, phagocytosis of debris and apoptotic cells, and repairing damaged tissue. Microglial function is tightly controlled, but under certain pathological conditions, activated microglia can induce excess inflammation which injure live cells in the CNS. Therefore, suppression of microglia is a fundamental strategy to treat CNS disorders. We have previously shown that the antiepileptic drug levetiracetam (LEV) inhibits microglia activation, but mechanism remains unclear. The purpose of this study is to identify a target of LEV to suppress microglial activity.		untreated;BV-2;microglia cell line;LPS for 6 hr;LPS+LEV for 6 hr
GSE180824	False	[]	2021.07.28	Mus musculus	GPL19057	True	False	147	Expression profiling by high throughput sequencing	False			Mouse neutrophil maturity analysis in homeostasis, acute-inflammation and cancer	Purpose: Identification of neutrophils at different stages of maturation and their phenotypic and functional differences remain unknown. The goal of this study was to confirm maturation status of Ly6GIntermediate, Ly6GHigh and Ly6G+ neutrophils, the consistency of this means of identication in disease, and identify functional differences. Methods: Ly6G+, Ly6GIntermediate and Ly6GHigh neutrophil populations were isolated by FACS into individual cell populations from PBS controls, acute-LPS inflammation and pancreatic adenocarcinoma (PDAC) bearing mouse tissues (metastatic KPC, non-metastatic KPflC and WT controls). RNA-Sequencing was performed on bulk isolated populations Results: We identified Ly6GIntermediate as bona-fide immature neutrophils and analysis of Ly6G expression level as a consistently accurate marker of identifying neutrophil maturity. Gene expression was influenced by maturation stage, tissue of isolation, developmental niche and pathology. Function associated expression differences were maintained between Ly6GIntermediate and Ly6GHigh neutrophils throughout tissues and pathology.		PBS (150uL i.p. 24hrs);KrasG12D/+; Trp53R172H/+; Pdx1-Cre;N/A;Spleen-derived neutrophil;Agouti/C57BL/6;Bone Marrow-derived neutrophil;Liver-derived neutrophil;Blood-derived neutrophil;WT;LPS (1mg/kg, i.p., 24hrs);C57BL/6;KrasG12D/+; Trp53fl/+; Pdx1-Cre
GSE180802	False	[]	2021.07.28	Mus musculus	GPL24247	True	False	2	Expression profiling by high throughput sequencing	False			Differences in Biological Basis and Its Effects on Vascular Endothelium in Dyslipidemic Mice with the Phlegm-Dampness Retention Syndrome and the Spleen and Kidney Yang Deficiency Syndrome Based on RNA-seq of Vascular Endothelial Macrophages	Objective: This study aimed to identify the differentially expressed genes and related biological processes in dyslipidemia with the Phlegm-Dampness Retention (PDR) syndrome and the Spleen and Kidney Yang Deficiency (SKYD) syndrome using transcriptomic analysis. Methods: Ten ApoE knockout (ApoE-/-) mice were used for the establishment of dyslipidemic disease-syndrome models via multifactor-hybrid modeling, with 5 in the the PDR group and 5 in the SKYD group. Five C57BL/6J mice were employed as normal controls (NC) group, which is not included in the current records.. Test model quality. Aortic endothelial macrophages in mice were screened using flow cytometry. Transcriptomic analysis was performed for macrophages using RNA-Seq. Results: The quality assessment of the disease-syndrome model showed that TG, TC, and LDL-C levels significantly increased in the PDR and SKYD groups versus the NC group (P < 0.05). Combined with HE staining of aorta, the disease model was successfully established. The quality assessment of the syndrome models showed that mice in the PDR group presented with typical manifestations of the PDR syndrome, and mice in the SKYD group had the related manifestations of the SKYD syndrome, indicating that the syndrome models were successfully constructed. After comparing the differentially expressed gene (DEG) expressions in macrophages in dyslipidemia mice with different syndromes, 4142 genes were identified with statistical significance (P < 0.05). The Gene Ontology (GO) analysis for the DEGs showed that biological process of difference between PDR group and SKYD group include both adverse and protective processes were included. Conclusion: The DEGs between the PDR syndrome and the SKYD syndrome indicate different biological mechanisms between the onset of the two syndromes. They have distinctive biological processes, including adverse and protective processes, corresponding to the invasion of pathogenic factors into the body and the fight of healthy qi against pathogenic factors, respectively, in the TCM theory. Our results have demonstrated the biological evidence behind ‘treating the same disease with different treatments’ in TCM.		Spleen and Kidney Yang Deficiency (SKYD) syndrome;Phlegm-Dampness Retention (PDR) syndrome;post natal day 6 weeks;ApoE-/-;Macrophages;C57BL/6J
GSE180775	False	[]	2021.07.28	Homo sapiens	GPL13607	True	False	41	Expression profiling by array	False			Recurrence biomarkers of triple negative breast cancer treated with neoadjuvant chemotherapy combined with anti-EGFR antibodies [Agilent]	To find metastatic recurrence biomarkers of triple negative breast cancer (TNBC) treated by neoadjuvant chemotherapy and anti-EGFR antibodies (NAT), we evaluated tumor genomic, transcriptomic and immune features, using MSK-IMPACT assay, gene arrays, Nanostring technology and TIL assessment on H&E. Six patients experienced a rapid fatal recurrence (RR) and other 6 had later non-fatal recurrences (LR). Before NAT, RR had low expression of 6 MHC class I and 13 MHC class II genes but were enriched in upregulated genes involved in the cell cycle-related pathways. Their TIL number before NAT in RR was very low (<5%) and did not increase after treatment. In post-NAT residual tumors, RR cases showed high expression of SOX2 and CXCR4. Our results indicate that high expression of cell cycle genes, combined with cold immunological phenotype, may predict strong TNBC resistance to NAT and rapid progression after it. This biomarker combination is worth validation in larger studies.		frozen tumor tissue;IIA;IIB;IIIA;breast
GSE180774	False	[]	2021.07.28	Mus musculus	GPL24247	True	False	6	Expression profiling by high throughput sequencing	False			Next-generation sequencing (NGS) analysis of GCA effects on BMSCs	In this study, we aimed to investigate the effects of Grancalcin (GCA) on bone marrow stromal cells (BMSC) differentiation.		PBS;Primary Bone marrow stromal cells;GCA;Bone marrow stromal cells-PBS;Bone marrow stromal cells-GCA;C57BL/6
GSE180604	True	[['pons', 'pons'], ['glia', 'glia'], ['oligoden', 'oligoden', 'oligoden'], ['oligodendr', 'oligodendr', 'oligodendr'], ['microglia', 'microglia'], ['oligodendr', 'oligodendr', 'oligodendr'], ['microglia', 'microglia']]	2021.07.28	Mus musculus	GPL23479	True	False	12	Expression profiling by high throughput sequencing	False			TNFR2 signaling regulates the immunomodulatory function of oligodendrocyte precursor cells	Multiple sclerosis (MS) is a neuroimmune disorder characterized by inflammation, CNS demyelination, and progressive neurodegeneration. Chronic MS patients exhibit impaired remyelination capacity, partly due to the changes that oligodendrocyte precursor cells (OPCs) undergo in response to the MS lesion environment. The cytokine tumor necrosis factor (TNF) is present in the MS affected CNS and has been implicated in disease pathophysiology. Of the two active forms of TNF, transmembrane (tmTNF) and soluble (solTNF), tmTNF signals via TNFR2 mediating protective and reparative effects, including remyelination, whereas solTNF signals predominantly via TNFR1 promoting neurotoxicity. To better understand the mechanisms underlying repair failure in MS, we investigated the cellular responses of OPCs to inflammatory exposure and the specific role of TNFR2 signaling in their modulation. Following treatment of cultured OPCs with IFNg, IL1b and TNF we observed by RNA sequencing marked inflammatory and immune activation of OPCs, accompanied by metabolic changes and dysregulation of their proliferation and differentiation programming. We also established the high likelihood of cell-cell interaction between OPCs and microglia in neuroinflammatory conditions, with OPCs able to produce chemokines that can recruit and activate microglia. Importantly, we showed that these functions are exacerbated when TNFR2 is ablated. Together, our data indicate that neuroinflammation leads OPCs to shift towards an immunomodulatory phenotype while diminishing their capacity to proliferate and differentiate, thus impairing their repair function. Furthermore, we demonstrated that TNFR2 plays a key role in this process, suggesting that boosting TNFR2 activation or its downstream signals could be an effective strategy to restore OPC reparative capacity in demyelinating disease.		Oligodendrocyte precursor cells;Stimulated with TNF, IFNg, and IL1b for 3 hours;primary mouse OPCs;Non-stimulated;Wild Type;C57BL/6;TNFR2 KO
GSE180580	False	[]	2021.07.28	Mus musculus	GPL17021	True	False	25	Expression profiling by high throughput sequencing	False			Transcriptomic analysis of mouse hepatic progenitors expressing different level of the HRasG12V oncogene (in vivo and ex vivo).	Analysis was done in parrallel on tissue culture and on orthotopic tumor xenografts from primary (liver) and metastatic (peritoneum) site after separation of tumoral and stromal cells components.		exponentially growing on collagen coated plates;Isolated from liver xenograft;Athymic nude mice stromal cells;bipotential embryonic mouse liver cells;Isolated from peritoneum metastasis
GSE175707	False	[]	2021.07.28	Mus musculus	GPL16417	True	False	22	Expression profiling by high throughput sequencing	False		34291043.0	Transcriptomic analysis of Organs Following Stem Cell Therapy for Dengue (Denv 2) Infection	Dengue virus can infect and cause systemic damage in many organs, resulting in organ failure. Here, we present a novel report showing a tailored stem cell-based therapy which can aid in viral clearance and rescue liver and blood vessels cells from further damage during dengue infection by administering combination of hematopoietic stem cells, endothelial progenitor cells and dental pulp stem cells in a dengue virus-infected BALB/c mouse model. To analyze the molecular level changes induced by DENV infection and stem cell treatment in dengue-infected mice, RNA sequencing (RNA-seq) using MiSeq next-generation sequencing was employed in this study. Transcriptomics analysis was performed comparing gene expression patterns in different experimental groups. Methods: Liver mRNA profiles of 21-day-old healthy, Dengue virus infected, and dengue infected plus stem cells treated BALB/C mice were generated by sequencing, in triplicate, using Illumina Miseq V3 150. The sequence reads that passed quality filters were assembled and analyzed using Tuxedo software. The results were analyzed using Cuffdiff to identify differentially expressed genes and transcripts. The relative expression of genes was determined based on FPKM (total fragments per kilobase of exon per million mapped reads) values Results: After analysis, it was found that 59 genes were significantly up-regulated in the DVI group, and in the DVI-SCT group, 47 of the genes were successfully corrected to the level similar to that of control group, while the remaining genes showed down-regulation Conclusion: In the recent years, the incidence of dengue has continued to increase, but there is currently no rapid and effective treatment available. This study demonstrates stem cell therapy as a promising management to reduce the global burden of dengue.		Blood Vessels;Blood Vessels tissue;Liver;Post Natal week 8;Wild type;21 days after infection;BALB/C;Liver tissue
GSE174516	False	[]	2021.07.28	Mus musculus	GPL21103	True	False	12	Expression profiling by high throughput sequencing	False		34127814.0	Androgen-mediated events during BMSC-to-adipocyte transition	DHT inhibits adipogenesis on M2-10B4 cells		untreated in regular medium;DHT-treated in adipogenic medium;DHT-treated in regular medium;C57BL/6J X C3H/HeJ;untreated in adipogenic medium;M2-10B4;M2-10B4 cells
GSE174139	False	[]	2021.07.28	Homo sapiens	GPL24676;GPL18573	True	False	10	Expression profiling by high throughput sequencing	False		34269815.0	Transcriptomic profiling of human orbital fat and differentiating orbital fibroblasts	Bulk RNA-Seq and snRNA-Seq of human orbital aft		GDfat001;Day21_Treatment_Rep2;Fat003;Day9_Treatment_Rep1;Day9_Treatment_Rep2;orbital fat;Fat010;Male;GDfat005;37 years old;51 years old;Day0;58 years old;Day21;Day0_Treatment;Day5_Treatment;Female;Day5;Day21_Treatment_Rep1;Day21_;Fibroblast;Day9;Orbital fat
GSE174023	False	[]	2021.07.28	Homo sapiens	GPL18573	True	False	4	Expression profiling by high throughput sequencing	False		34298684.0	Transcriptome analysis of a drug combination in two patient-derived xenograft (PDX) tumors of pancreatic cancer	We report that eight gene products were downregulated in PA4 and PA16 PDX models by BET inhibitor JQ1 + gemcitabine, compared to vehicle controls.		Vehicle;Human tumors grown in mice;pancreatic cancer;PDX tumors;JQ1 + gemcitabine
GSE173331	True	[['pons']]	2021.07.28	Homo sapiens	GPL23227	True	False	12	Expression profiling by high throughput sequencing	False		34298700.0	Development of an Androgen Receptor Inhibitor Targeting the N-Terminal Domain of Androgen Receptor for Treatment of Castration Resistant Prostate Cancer	Prostate cancer patients undergoing androgen deprivation therapy almost invariably develop castration-resistant prostate cancer. Resistance occurs when mutations in the androgen receptor (AR) render anti-androgen drugs ineffective or when constitutively active splice variants lacking the androgen binding domain entirely (e.g. ARV7) is expressed. In this study, we are reporting the discovery of novel AR-NTD covalent inhibitor 1‐chloro‐3‐[(5‐([(2S)‐3‐chloro‐2‐hydroxypropyl]amino)naphthalen‐1‐yl)amino]propan‐2‐ol (VPC-220010) targeting the AR-N-terminal Domain (AR-NTD). VPC-220010 inhibits AR-mediated transcription of full length and truncated variant ARV7, downregulates AR response genes, and selectively reduces the growth of both full-length AR- and truncated AR-dependent prostate cancer cell lines. We show that VPC-220010 disrupts interactions between AR and its known coactivators and interactors, such as CHD4, FOXA1, ZMIZ1, and several SWI/SNF complex proteins. Taken together, our data suggest that VPC-220010 is a promising small molecule AR-NTD inhibitor for the treatment of CRPC.		LNCaP cells
GSE171644	True	[['pons', 'pons', 'pons']]	2021.07.28	Mus musculus	GPL21103	True	False	9	Expression profiling by high throughput sequencing	False	GSE171645		Integrated molecular landscape perturbations underlie cellular responses during hyperammonemia [mouse RNA-seq]	Ammonia is a cytotoxic molecule generated during cellular functions and by the gut microbiome. Dysregulated ammonia metabolism initiates a hyperammonemic stress response (HASR). Hyperammonemia occurs in many chronic diseases but there is limited understanding of the overall consequences of HASR. A comprehensive array of unbiased approaches was used to identify global responses during hyperammonemia with experimental validation of critical findings. Protein/gene expression and chromatin accessibility in hyperammonemic murine myotubes and mouse skeletal muscle tissue were analyzed by quantitative proteomics, RNA sequencing (RNAseq), and Assay for Transposase Accessible Chromatin Sequencing (ATACseq). Unique clusters of expression/accessibility changes were identified in hyperammonemic myotubes. In hyperammonemic mouse muscle and myotubes, we identified enrichment of pathways involved in oxidative phosphorylation, calcium signaling, hypoxia inducible factor-1, and apoptosis and regulation of protein synthesis were altered during HASR and were experimentally validated. Enrichment of senescence signaling and glycosylation pathways during HASR were novel observations. Comparisons with RNAseq data from skeletal muscle from human patients with cirrhosis revealed similar perturbations, demonstrating the translational relevance of our observations. We identified several novel regulatory pathways during HASR that are conserved in different models and across species, and whose dysregulation could significantly impact skeletal muscle structure and function.		Gastrocnemius_Am;Ammonium acetate;Gastrocnemius_PBS;C57BL/6J;Phosphate buffered saline;skeletal muscle
GSE171643	True	[['pons', 'pons', 'pons']]	2021.07.28	Homo sapiens	GPL20301	True	False	8	Expression profiling by high throughput sequencing	False	GSE171645		Integrated molecular landscape perturbations underlie cellular responses during hyperammonemia [human RNA-seq]	Ammonia is a cytotoxic molecule generated during cellular functions and by the gut microbiome. Dysregulated ammonia metabolism initiates a hyperammonemic stress response (HASR). Hyperammonemia occurs in many chronic diseases but there is limited understanding of the overall consequences of HASR. A comprehensive array of unbiased approaches was used to identify global responses during hyperammonemia with experimental validation of critical findings. Protein/gene expression and chromatin accessibility in hyperammonemic murine myotubes and mouse skeletal muscle tissue were analyzed by quantitative proteomics, RNA sequencing (RNAseq), and Assay for Transposase Accessible Chromatin Sequencing (ATACseq). Unique clusters of expression/accessibility changes were identified in hyperammonemic myotubes. In hyperammonemic mouse muscle and myotubes, we identified enrichment of pathways involved in oxidative phosphorylation, calcium signaling, hypoxia inducible factor-1, and apoptosis and regulation of protein synthesis were altered during HASR and were experimentally validated. Enrichment of senescence signaling and glycosylation pathways during HASR were novel observations. Comparisons with RNAseq data from skeletal muscle from human patients with cirrhosis revealed similar perturbations, demonstrating the translational relevance of our observations. We identified several novel regulatory pathways during HASR that are conserved in different models and across species, and whose dysregulation could significantly impact skeletal muscle structure and function.		Human without cirrhosis;Vastus lateralis_without cirrhosis;Vastus lateralis_with cirrhosis;Human with cirrhosis;skeletal muscle
GSE171565	False	[]	2021.07.28	Homo sapiens	GPL18573	True	False	4	Expression profiling by high throughput sequencing	False		34290089.0	Transcriptomic effects of nicotinamide nucleotide adenylyltransferase 1 (NMNAT1) deletion on human AML cells	Through integration of whole genome CRISPR screening and pan-cancer genetic dependency mapping, we identified nicotinamide phosphoribosyltransferase (NAMPT) and nicotinamide nucleotide adenylyltransferase 1 (NMNAT1) as acute myeloid leukemia (AML) dependencies governing NAD+ biosynthesis. While both NAMPT and NMNAT1 were required for AML, we found that the presence of NAD+ precursors bypassed the dependence of AML on NAMPT, but not NMNAT1, pointing to NMNAT1 as a gatekeeper of NAD+ biosynthesis. We provide evidence that reduced nuclear NAD+ upon deletion of NMNAT1 activated p53, which is due to attenuated deacetylation by SIRT6/7 in AML cells. Our findings reveal that NAD+ is a critical metabolic foundation for AML, and NMNAT1 is a novel therapeutic target for this disease.		AML;negative control;acute myeloid leukemia;NMNAT1;Blood
